label,way_id,start_idx,end_idx,oneway,highway,name,closed_way,result
品川→東京,680899281,11,12,yes,unclassified,,False,forward_travel
品川→東京,172281628,12,13,yes,unclassified,,False,forward_travel
品川→東京,1035479906,13,14,yes,primary,旧海岸通り,False,forward_travel
品川→東京,1366369042,14,15,yes,primary,旧海岸通り,False,forward_travel
品川→東京,1110456260,15,16,yes,primary,旧海岸通り,False,forward_travel
品川→東京,356912946,16,17,yes,primary,旧海岸通り,False,forward_travel
品川→東京,230895574,17,21,yes,primary,旧海岸通り,False,forward_travel
品川→東京,1147401990,21,22,yes,primary,旧海岸通り,False,forward_travel
品川→東京,23690259,22,23,yes,primary,旧海岸通り,False,forward_travel
品川→東京,211690605,23,27,yes,primary,旧海岸通り,False,forward_travel
品川→東京,211690603,27,28,yes,primary,八千代橋,False,forward_travel
品川→東京,4848884,28,38,yes,primary,旧海岸通り,False,forward_travel
品川→東京,421300041,38,39,yes,primary,芝潟橋,False,forward_travel
品川→東京,421300042,39,40,yes,primary,旧海岸通り,False,forward_travel
品川→東京,47025715,50,52,yes,residential,,False,forward_travel
品川→東京,47025714,52,53,yes,residential,,False,forward_travel
品川→東京,176741267,53,54,yes,residential,,False,forward_travel
品川→東京,176741268,54,56,yes,residential,,False,forward_travel
品川→東京,1325116952,56,58,yes,residential,,False,forward_travel
品川→東京,1325116953,58,59,yes,residential,,False,forward_travel
品川→東京,265068937,97,99,yes,unclassified,,False,forward_travel
品川→東京,1293834330,99,100,yes,unclassified,,False,forward_travel
品川→東京,257233099,101,103,yes,unclassified,,False,forward_travel
品川→東京,1419992140,103,104,yes,secondary,錦町有楽町線,False,forward_travel
品川→東京,257228938,108,110,yes,secondary,丸の内室町線,False,forward_travel
品川→東京,1024216110,110,111,yes,secondary,丸の内室町線,False,forward_travel
品川→東京,477949432,111,112,yes,secondary,丸の内室町線,False,forward_travel
品川→東京,387627973,112,113,yes,secondary,丸の内室町線,False,forward_travel
渋谷→六本木,274499723,9,10,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,390536924,10,11,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,282172100,11,12,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,261815524,12,13,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,215955235,13,14,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,310155095,14,15,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,1414217947,15,16,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,265139656,16,17,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,1143863679,17,18,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,215955234,18,19,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,1143863680,19,20,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,1134562284,20,21,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,1391289379,21,22,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,376162311,22,23,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,1156909226,23,24,yes,tertiary,神宮通り,False,forward_travel
渋谷→六本木,1419311958,44,45,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,922476299,45,46,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,852978900,46,47,yes,secondary,六本木通り,False,forward_travel
