metric_no,record_type,label,road_type,item,value,numerator,denominator,unit,status,detail,source_input
5,pair,千葉→幕張本郷,混在型,R1・R2距離差,-3718.8,,,m,measured,R1=8416.1m; R2=12134.9m; R1-R2=-3718.8m; R2分母差率=-30.6%,verify_v2_analyze_route.csv;google_comparison.csv
5,summary,,,R1内部のリルート距離差ゼロ,14,14,15,pair,measured,,verify_v2_analyze_route.csv
5,summary,横浜→みなとみらい,,R1内部のリルート距離増,419.9,419.9,2277.7,m,measured,18.4%,verify_v2_analyze_route.csv
6,summary,,,幾何的曖昧,188,188,379,point,measured,2.0m閾値; 49.60%,decision_ambiguity_points.csv
6,summary,,,判定影響曖昧,150,150,379,point,measured,2.0m閾値; 39.58%,decision_ambiguity_points.csv
6,summary,,,違反有無反転,12,12,379,point,measured,2.0m閾値; 3.17%,decision_ambiguity_points.csv
7,distribution,,,全379判定点:min,0.001,,379,m,measured,,decision_ambiguity_points.csv
7,distribution,,,全379判定点:p25,0.836,,379,m,measured,,decision_ambiguity_points.csv
7,distribution,,,全379判定点:median,2.047,,379,m,measured,,decision_ambiguity_points.csv
7,distribution,,,全379判定点:p75,4.540,,379,m,measured,,decision_ambiguity_points.csv
7,distribution,,,全379判定点:max,75.688,,379,m,measured,,decision_ambiguity_points.csv
7,distribution,,,現行oneway検出12点:min,1.518,,12,m,measured,,verify_match_margin_points.csv
7,distribution,,,現行oneway検出12点:p25,2.066,,12,m,measured,,verify_match_margin_points.csv
7,distribution,,,現行oneway検出12点:median,3.651,,12,m,measured,,verify_match_margin_points.csv
7,distribution,,,現行oneway検出12点:p75,4.094,,12,m,measured,,verify_match_margin_points.csv
7,distribution,,,現行oneway検出12点:max,18.649,,12,m,measured,,verify_match_margin_points.csv
7,threshold,,,全379判定点:margin<1.5m,156,156,379,point,measured,,decision_ambiguity_points.csv
7,threshold,,,現行oneway 12点:判定不能<1.5m,0,0,12,point,measured,,verify_match_margin_points.csv
7,threshold,,,全379判定点:margin<2.0m,188,188,379,point,measured,,decision_ambiguity_points.csv
7,threshold,,,現行oneway 12点:判定不能<2.0m,3,3,12,point,measured,,verify_match_margin_points.csv
7,threshold,,,全379判定点:margin<2.5m,216,216,379,point,measured,,decision_ambiguity_points.csv
7,threshold,,,現行oneway 12点:判定不能<2.5m,4,4,12,point,measured,,verify_match_margin_points.csv
8,summary,,,ground_truth.csv再構築行,17,17,15,row,candidate_only,15ラベル、検出候補11行。true_*は人手未入力のため精度指標は未測定,ground_truth_template.csv
