label,feature_type,osm_key,osm_value,node_id,lat,lng,dist_to_route_m,route_position_m,parent_way_ids,parent_way_highways,direction_tag,tags_json,street_view_url
川崎→武蔵小杉,一時停止,highway,stop,9328887768,35.5498719,139.6816852,14.02,3170.0,124965707,tertiary,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.5498719,139.6816852"
川崎→武蔵小杉,一時停止,highway,stop,9043732236,35.5527404,139.6801910,14.01,3515.2,1071867337,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.5527404,139.6801910"
川崎→武蔵小杉,一時停止,highway,stop,10270731845,35.5550088,139.6782253,8.28,3822.3,159367744,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.5550088,139.6782253"
川崎→武蔵小杉,一時停止,highway,stop,9269777761,35.5578991,139.6761437,9.15,4194.7,221309639,unclassified,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.5578991,139.6761437"
川崎→武蔵小杉,踏切_歩道自転車道,railway,crossing,9532416785,35.5712562,139.6674541,5.37,5984.2,812902514,path,,"{""railway"":""crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.5712562,139.6674541"
千葉→幕張本郷,踏切_車道,railway,level_crossing,2697832127,35.6516019,140.0694328,0.39,7772.6,139653293,unclassified,,"{""railway"":""level_crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6516019,140.0694328"
千葉→幕張本郷,踏切_車道,railway,level_crossing,2697832130,35.6516341,140.0694592,0.68,7776.9,139653293,unclassified,,"{""railway"":""level_crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6516341,140.0694592"
千葉→幕張本郷,踏切_車道,railway,level_crossing,2686744903,35.6521126,140.0678804,11.06,7934.8,139815669,residential,,"{""railway"":""level_crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6521126,140.0678804"
千葉→幕張本郷,踏切_車道,railway,level_crossing,2686744904,35.6521445,140.0678975,7.24,7934.8,139815669,residential,,"{""railway"":""level_crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6521445,140.0678975"
千葉→幕張本郷,踏切_歩道自転車道,railway,crossing,13360319204,35.6526719,140.0663044,4.24,8103.0,1456766573,footway,,"{""railway"":""crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6526719,140.0663044"
