label,sample_idx,route_idx,lat,lng,candidate_count,node_rank1_way_id,perp_rank1_way_id,perp_rank1_highway,perp_rank1_oneway,perp_rank1_name,rank2_way_id,rank2_highway,rank2_dist_m,match_dist_m,match_margin_m,match_ambiguous,verify_group,known_group_node_rank1,known_group_perp_rank1,oneway_violation,oneway_confidence,oneway_misaligned,diag_angle_deg
東京→渋谷,31,32,35.65823,139.70837,342,141293470,141293470,tertiary,,八幡通り,922476295,secondary,2.148,1.601,0.546,True,,,,False,0.0,False,54.9
東京→渋谷,32,33,35.65811,139.70618,342,622021127,284075894,secondary,yes,六本木通り,141293465,residential,5.231,0.514,4.717,False,,,,False,0.0,False,0.3
東京→渋谷,33,34,35.65805,139.70434,342,853216379,852978896,secondary,yes,六本木通り,211402007,service,1.905,1.498,0.407,True,,,,False,0.0,False,3.1
東京→渋谷,34,37,35.65792,139.70353,342,680253718,680253718,pedestrian,,,664521510,footway,3.158,0.363,2.795,False,,,,False,0.0,False,179.3
品川→東京,0,0,35.62877,139.74184,313,680899281,680899281,unclassified,yes,,680899279,footway,9.646,1.218,8.428,False,,,,False,0.0,True,114.2
品川→東京,1,2,35.6289,139.74222,313,172281627,172281628,unclassified,yes,,172281627,footway,0.409,0.406,0.003,True,,,,False,0.0,False,19.1
品川→東京,2,5,35.62903,139.74278,313,23690216,172281627,footway,,,23690216,unclassified,2.13,0.951,1.179,True,想定外,A,,False,0.0,False,27.3
品川→東京,3,6,35.62949,139.74285,313,172281624,172281624,unclassified,,,1035597852,tertiary,0.955,0.12,0.834,True,,,,False,0.0,False,51.7
品川→東京,4,7,35.62945,139.74351,313,265010603,265010603,tertiary,yes,,558518250,pedestrian,1.046,0.181,0.865,True,,,,False,0.0,False,45.4
品川→東京,5,8,35.63012,139.74357,313,558518250,558518250,pedestrian,,,582256211,pedestrian,1.672,0.369,1.304,True,,,,False,0.0,False,168.3
品川→東京,6,11,35.63051,139.74365,313,558518250,558518250,pedestrian,,,558518249,pedestrian,20.087,2.875,17.212,False,,,,False,0.0,False,164.0
品川→東京,7,14,35.63065,139.74447,313,558518249,558518249,pedestrian,,,1450174835,footway,48.72,4.335,44.385,False,,,,False,0.0,False,25.4
品川→東京,8,15,35.6314,139.74456,313,558518249,558518249,pedestrian,,,1450174835,footway,47.318,3.737,43.581,False,,,,False,0.0,False,33.2
品川→東京,9,18,35.63145,139.74498,313,1450174835,1450174835,footway,,,356912946,primary,16.612,9.889,6.723,False,,,,False,0.0,True,65.3
品川→東京,10,21,35.63329,139.74537,313,230895574,230895574,primary,yes,旧海岸通り,1450872526,footway,5.82,1.111,4.709,False,,,,False,0.0,False,1.4
品川→東京,11,22,35.63741,139.74669,313,19247435,211690605,primary,yes,旧海岸通り,19247435,tertiary,1.809,0.215,1.594,True,,,,False,0.0,False,0.4
品川→東京,12,23,35.63939,139.74728,313,155010048,211690605,primary,yes,旧海岸通り,252127020,tertiary,1.13,0.816,0.314,True,,,,False,0.0,False,0.7
品川→東京,13,24,35.64115,139.74788,313,23690234,23690234,tertiary,,,211690605,primary,4.114,0.405,3.709,False,,,,False,0.0,False,150.2
品川→東京,14,25,35.64181,139.7482,313,4848884,176674159,secondary,yes,日比谷芝浦線,4848884,primary,0.953,0.162,0.791,True,,,,False,0.0,False,58.5
品川→東京,15,27,35.64294,139.75077,313,4848884,59973392,tertiary,,,4848884,primary,0.901,0.456,0.445,True,,,,False,0.0,True,76.0
品川→東京,16,28,35.64296,139.75235,313,59973382,421300042,primary,yes,旧海岸通り,59973382,tertiary,2.275,0.202,2.073,False,,,,False,0.0,False,51.6
品川→東京,17,29,35.6483,139.75493,313,1033723439,1033723439,trunk,yes,旧海岸通り,1033723438,tertiary,5.291,3.476,1.814,True,,,,False,0.0,True,90.7
品川→東京,18,30,35.64862,139.75466,313,741785139,741785139,tertiary_link,yes,,1033723439,trunk,5.365,0.346,5.018,False,,B,B,True,1.0,False,168.8
品川→東京,19,31,35.64911,139.75297,313,147812389,1033723439,trunk,yes,旧海岸通り,656235284,trunk,1.583,1.086,0.497,True,,,,False,0.0,False,47.9
品川→東京,20,32,35.65107,139.75374,313,60544335,656235283,trunk,yes,第一京浜,111594585,residential,4.343,0.995,3.349,False,,,,False,0.0,False,10.7
品川→東京,21,33,35.66028,139.75507,313,253812419,253812419,trunk,yes,第一京浜,25824167,tertiary,7.903,2.932,4.972,False,,,,False,0.0,False,28.6
品川→東京,22,34,35.6608,139.75546,313,665351157,253812419,trunk,yes,第一京浜,665351157,footway,6.732,0.711,6.021,False,,,,False,0.0,False,1.1
品川→東京,23,35,35.66371,139.75792,313,4848932,4848932,trunk,yes,第一京浜,1123745365,secondary,1.33,0.437,0.893,True,,,,False,0.0,False,0.6
品川→東京,24,36,35.66676,139.76034,313,253812422,253812422,trunk,yes,中央通り,261065061,secondary,6.162,5.625,0.537,True,,,,False,0.0,False,15.6
品川→東京,25,37,35.66705,139.76072,313,667962675,667962674,trunk,yes,中央通り,191327485,footway,6.828,0.738,6.09,False,B群,B,,False,0.0,False,5.1
品川→東京,26,38,35.66833,139.76194,313,196380141,196380141,trunk,yes,中央通り,538982927,trunk,7.06,1.017,6.042,False,,,,False,0.0,False,1.0
品川→東京,27,39,35.66991,139.76364,313,191327487,196380141,trunk,yes,中央通り,538982927,trunk,4.499,2.31,2.19,False,,,,False,0.0,False,0.4
品川→東京,28,40,35.67125,139.76499,313,669770287,1090618166,trunk,yes,中央通り,669755800,footway,2.482,1.929,0.552,True,,,,False,0.0,False,1.0
品川→東京,29,41,35.67476,139.76873,313,1026056857,1026056857,trunk,yes,中央通り,1070720649,tertiary,2.916,0.126,2.79,False,,,,False,0.0,False,0.7
品川→東京,30,42,35.67536,139.76923,313,40969585,40969586,unclassified,yes,,40969585,unclassified,1.981,0.525,1.457,True,,,,False,0.0,True,100.0
品川→東京,31,43,35.67616,139.76965,313,23770583,1070720653,trunk,yes,中央通り,23770583,tertiary,2.594,2.513,0.081,True,,,,False,0.0,True,82.0
品川→東京,32,44,35.67721,139.76717,313,23770583,203572465,secondary,yes,外堀通り,23770583,tertiary,5.342,2.719,2.623,False,,,,False,0.0,True,80.1
品川→東京,33,45,35.67722,139.76665,313,665316180,676291216,secondary,yes,鍛冶橋通り,203572501,footway,7.921,1.978,5.943,False,,,,False,0.0,False,3.8
品川→東京,34,46,35.67738,139.76579,313,517127276,1485371598,footway,,,1105155928,secondary,3.981,0.107,3.874,False,,,,False,0.0,False,31.8
品川→東京,35,47,35.67741,139.76558,313,1450867348,1360102103,footway,,,1450867349,steps,2.357,1.812,0.545,True,,,,False,0.0,False,0.8
渋谷→六本木,0,0,35.65792,139.70354,127,680253718,680253718,pedestrian,,,664521510,footway,3.061,0.265,2.796,False,,,,False,0.0,False,0.6
渋谷→六本木,1,1,35.65798,139.7042,127,664881024,664881024,footway,,,680253719,pedestrian,7.162,1.624,5.538,False,,,,False,0.0,False,33.9
渋谷→六本木,2,4,35.65761,139.70435,127,211402007,211402007,service,yes,,664819019,footway,32.649,0.087,32.563,False,,,,False,0.0,False,1.2
渋谷→六本木,3,6,35.6575,139.70475,127,211286456,611222110,unclassified,yes,,211286456,unclassified,1.105,0.269,0.837,True,,,,False,0.0,False,5.1
渋谷→六本木,4,7,35.65751,139.70557,127,611222110,611222110,unclassified,yes,,109231692,residential,48.646,0.806,47.841,False,,,,False,0.0,False,9.4
渋谷→六本木,5,9,35.65728,139.70615,127,611222110,611222110,unclassified,yes,,511276639,steps,6.475,0.277,6.198,False,,,,False,0.0,False,18.9
渋谷→六本木,6,11,35.65718,139.70693,127,141293467,141293460,tertiary,,,141293467,tertiary,3.076,2.318,0.758,True,,,,False,0.0,False,8.0
渋谷→六本木,7,12,35.65682,139.70752,127,141293460,141293470,tertiary,,八幡通り,141293460,tertiary,1.525,0.34,1.185,True,,,,False,0.0,False,160.0
渋谷→六本木,8,13,35.6585,139.70853,127,852978900,852978900,secondary,yes,六本木通り,914330752,tertiary,1.824,0.521,1.303,True,,,,False,0.0,False,7.1
渋谷→六本木,9,14,35.65956,139.71978,127,185745188,934924985,secondary,yes,六本木通り(側道),202809279,motorway_link,2.274,0.636,1.637,True,,,,False,0.0,False,1.1
渋谷→六本木,10,15,35.65969,139.72083,127,139972196,934924985,secondary,yes,六本木通り(側道),185745188,footway,6.543,0.105,6.438,False,,,,False,0.0,False,1.0
渋谷→六本木,11,16,35.65973,139.72263,127,934924985,934924985,secondary,yes,六本木通り(側道),628330003,secondary,4.13,0.966,3.164,False,,,,False,0.0,False,1.4
渋谷→六本木,12,17,35.66005,139.72437,127,628330002,852789786,secondary,yes,六本木通り,628330003,secondary,2.945,1.349,1.595,True,,,,False,0.0,False,3.4
渋谷→六本木,13,18,35.66146,139.72831,127,261065069,888162707,secondary,yes,六本木通り(六本木六丁目),261065069,secondary,0.932,0.087,0.845,True,,,,False,0.0,False,4.6
渋谷→六本木,14,19,35.6621,139.72956,127,271979242,271979242,secondary,yes,六本木通り,600251619,residential,2.859,0.63,2.229,False,,,,False,0.0,False,0.3
渋谷→六本木,15,20,35.66324,139.73207,127,693373502,927004531,secondary,yes,六本木通り,1328383040,motorway,4.745,0.466,4.278,False,,,,False,0.0,False,0.0
下北沢→三軒茶屋,0,0,35.66155,139.66772,88,41949455,41949455,unclassified,yes,,850994489,footway,0.489,0.025,0.464,True,,,,False,0.0,True,119.5
