label,sample_idx,route_idx,lat,lng,candidate_count,rank1_way_id,rank1_highway,rank1_bicycle,rank1_access,rank1_oneway,rank1_name,rank1_dist_m,rank2_way_id,rank2_highway,rank2_bicycle,rank2_access,rank2_oneway,rank2_name,rank2_dist_m,match_margin_m,match_ambiguous_2m,pair_local_angle_deg,pair_shared_node,pair_pattern,filtered_candidate_count,filtered_rank1_way_id,filtered_rank1_highway,filtered_rank1_dist_m,filtered_rank2_way_id,filtered_rank2_highway,filtered_rank2_dist_m,filtered_margin_m,filtered_ambiguous_2m,ambiguity_changed_2m
東京→渋谷,7,8,35.67293,139.7505,342,243268913,tertiary,,,yes,国会通り,0.961,813532923,trunk,,yes,yes,桜田通り,1.847,0.886,True,84.5,True,(c) 交差点付近の交差・接続way,147,243268913,tertiary,0.961,813532923,trunk,1.847,0.886,True,False
東京→渋谷,8,9,35.67028,139.74934,342,931757787,trunk,,yes,yes,桜田通り,1.785,678476157,footway,,,,虎ノ門,4.707,2.923,False,88.1,False,(c) 交差点付近の交差・接続way,147,931757787,trunk,1.785,931757786,secondary,6.792,5.008,False,False
東京→渋谷,9,10,35.669,139.74859,342,931757787,trunk,,yes,yes,桜田通り,0.246,474603749,footway,,,,,5.756,5.51,False,1.4,False,(b) 車道と並走する歩道・自転車道,147,931757787,trunk,0.246,1326072264,trunk,8.736,8.49,False,False
東京→渋谷,10,11,35.66449,139.74651,342,931757787,trunk,,yes,yes,桜田通り,0.017,474600371,footway,,,,,7.123,7.106,False,3.4,False,(b) 車道と並走する歩道・自転車道,147,931757787,trunk,0.017,1326072265,trunk,9.099,9.082,False,False
東京→渋谷,11,12,35.66321,139.74533,342,931757787,trunk,,yes,yes,桜田通り,1.843,683135150,tertiary,,,,,2.889,1.046,True,82.1,True,(c) 交差点付近の交差・接続way,147,931757787,trunk,1.843,683135150,tertiary,2.889,1.046,True,False
東京→渋谷,12,13,35.66203,139.74425,342,253812412,trunk,yes,yes,yes,桜田通り,1.223,1192656136,footway,,,,,3.747,2.524,False,89.9,True,(c) 交差点付近の交差・接続way,147,253812412,trunk,1.223,1031554883,tertiary,4.293,3.07,False,False
東京→渋谷,13,14,35.66078,139.74336,342,253812412,trunk,yes,yes,yes,桜田通り,3.2,474600366,footway,,,,,6.021,2.82,False,1.5,False,(b) 車道と並走する歩道・自転車道,147,253812412,trunk,3.2,204077031,unclassified,6.959,3.759,False,False
東京→渋谷,14,15,35.66019,139.74304,342,1035341897,trunk,yes,yes,yes,桜田通り,3.021,858775690,trunk,,yes,yes,桜田通り,9.9,6.878,False,3.3,False,(a) 同一道路の分離ウェイ,147,1035341897,trunk,3.021,858775690,trunk,9.9,6.878,False,False
東京→渋谷,15,16,35.6598,139.743,342,858775693,trunk,yes,yes,yes,桜田通り,1.34,858775686,primary,,,yes,外苑東通り,2.22,0.881,True,59.1,True,(c) 交差点付近の交差・接続way,147,858775693,trunk,1.34,858775686,primary,2.22,0.881,True,False
東京→渋谷,16,17,35.65947,139.74263,342,19023682,primary_link,,,yes,,0.238,858775692,primary,,,yes,外苑東通り,4.17,3.932,False,31.1,True,(c) 交差点付近の交差・接続way,147,19023682,primary_link,0.238,858775692,primary,4.17,3.932,False,False
