label,way_id,fn_reason,needs_manual_check,point_lat,point_lng,osm_url,oneway,highway,name,osm_tags_raw,start_idx,end_idx,geom_nodes,trimmed_length_m,going_wrong_way,against_votes,direction_votes,angle_way_axis_vs_travel_deg,travel_vector_lng,travel_vector_lat,oneway_bicycle,cycleway,using_edge_ids,diagnosis_detail,overpass_endpoint,match_way_id,match_dist_m,match_margin_m,match_ambiguous
渋谷→新宿,1061981261,forward_travel,False,35.671949,139.708006,https://www.openstreetmap.org/way/1061981261,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lanes=3; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji Street; name:es=Calle Meiji; name:fr=Rue Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; name:zh=明治通; oneway=yes; ref=305; source=Bing,2007-04; surface=paved; wikidata=Q8011176",54,57,5,39.71,False,0,4,0.0,0.00017800000000534055,0.00032500000000368345,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/4）,overpass-api.de,,,,
渋谷→新宿,1134562284,forward_travel,False,35.659241,139.700274,https://www.openstreetmap.org/way/1134562284,yes,tertiary,神宮通り,foot=no; highway=tertiary; lanes=1; lit=yes; name=神宮通り; name:en=Jingu-dori Street; oneway=yes; surface=asphalt; turn:lanes=left;through,20,21,2,4.75,False,0,1,0.6,1.6999999985500835e-05,3.999999999848569e-05,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.6°・逆走側セグメント 0/1）,overpass-api.de,,,,
渋谷→新宿,1143863679,forward_travel,False,35.6589,139.70019,https://www.openstreetmap.org/way/1143863679,yes,tertiary,神宮通り,highway=tertiary; lanes=1; lit=yes; name=神宮通り; name:en=Jingu-dori Street; oneway=yes; surface=asphalt,17,18,3,8.1,False,0,2,0.0,3.0000000208474376e-06,7.300000000043383e-05,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/2）,overpass-api.de,,,,
渋谷→新宿,1143863680,forward_travel,False,35.659119,139.700236,https://www.openstreetmap.org/way/1143863680,yes,tertiary,神宮通り,foot=no; highway=tertiary; lanes=1; lit=yes; name=神宮通り; name:en=Jingu-dori Street; name:ja=神宮通り; oneway=yes; surface=asphalt; turn:lanes=left;through,19,20,3,14.01,False,0,2,0.2,3.800000001774606e-05,0.00012200000000461841,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.2°・逆走側セグメント 0/2）,overpass-api.de,,,,
渋谷→新宿,1156909226,forward_travel,False,35.659358,139.700335,https://www.openstreetmap.org/way/1156909226,yes,tertiary,神宮通り,foot=no; highway=tertiary; lanes=1; lit=yes; name=神宮通り; name:en=Jingu-dori Street; oneway=yes; oneway:conditional=no @ (22:00-08:00); surface=asphalt; turn:lanes=left;through,23,24,2,25.52,False,0,1,0.0,0.00023699999999848842,0.0001239999999995689,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/1）,overpass-api.de,,,,
渋谷→新宿,1368012337,forward_travel,False,35.670208,139.706705,https://www.openstreetmap.org/way/1368012337,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lanes=2; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji Street; name:es=Calle Meiji; name:fr=Rue Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; name:zh=明治通; oneway=yes; ref=305; sidewalk=left; smoothness=good; source=Bing,2007-04; surface=asphalt; wikidata=Q8011176; wikimedia_commons=Category:Meiji dori (Tokyo); wikipedia=ja:明治通り (東京都)",49,54,16,435.79,False,0,15,0.0,0.0025639999999782503,0.003315000000000623,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/15）,overpass-api.de,,,,
渋谷→新宿,1391289379,forward_travel,False,35.659281,139.700291,https://www.openstreetmap.org/way/1391289379,yes,tertiary,神宮通り,foot=no; highway=tertiary; lanes=1; lit=yes; name=神宮通り; name:en=Jingu-dori Street; oneway=yes; surface=asphalt; turn:lanes=left;through,21,22,2,4.28,False,0,1,0.3,1.8000000011397788e-05,3.600000000147929e-05,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.3°・逆走側セグメント 0/1）,overpass-api.de,,,,
渋谷→新宿,1414217947,forward_travel,False,35.658543,139.700249,https://www.openstreetmap.org/way/1414217947,yes,tertiary,神宮通り,highway=tertiary; lanes=1; lit=yes; name=神宮通り; name:en=Jingu-dori Street; oneway=yes; surface=asphalt,15,16,2,16.81,False,0,1,0.1,-2.600000001962144e-05,0.0001490000000003988,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.1°・逆走側セグメント 0/1）,overpass-api.de,,,,
東京→渋谷,23581721,forward_travel,False,35.666581,139.73917,https://www.openstreetmap.org/way/23581721,yes,secondary,高輪麻布線,foot=no; highway=secondary; lanes=2; name=高輪麻布線; name:en=Takanawa-Azabu Line; name:ja=高輪麻布線; oneway=yes; ref=415; source=Bing 2010; surface=paved,62,64,6,181.98,False,0,5,0.0,-0.00027900000000613545,-0.0016169999999959828,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/5）,overpass-api.de,,,,
東京→渋谷,23648785,forward_travel,False,35.66537,139.738711,https://www.openstreetmap.org/way/23648785,yes,secondary,,foot=no; highway=secondary; lanes=3; oneway=yes; ref=415,69,70,2,20.8,False,0,1,0.0,2.700000001709668e-05,0.00018499999999477268,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/1）,overpass-api.de,,,,
