label,sample_idx,route_idx,lat,lng,margin_m,geometric_ambiguous_2m,decision_tuple_diff,semantic_decision_tuple_diff,decision_impact_ambiguous_2m,violation_flip,violation_flip_ambiguous_2m,rank1_way_id,rank1_highway,rank1_oneway,rank1_oneway_semantic,rank1_direction,rank1_exemption,rank1_status,rank1_violation,rank1_misaligned,rank2_way_id,rank2_highway,rank2_oneway,rank2_oneway_semantic,rank2_direction,rank2_exemption,rank2_status,rank2_violation,rank2_misaligned
東京→渋谷,0,0,35.67791,139.76377,1.96,True,True,True,True,False,False,1450867353,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False,387312965,secondary,yes,forward,with,,legal_forward,False,False
東京→渋谷,1,1,35.67841,139.76102,4.422,False,False,False,False,False,False,59266960,trunk,yes,forward,with,,legal_forward,False,False,387312967,secondary,yes,forward,with,,legal_forward,False,False
東京→渋谷,2,2,35.67519,139.75985,8.383,False,True,True,False,False,False,59266960,trunk,yes,forward,with,,legal_forward,False,False,474593059,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
東京→渋谷,3,4,35.67538,139.75892,6.665,False,False,False,False,False,False,157191451,trunk,yes,forward,with,,legal_forward,False,False,45171692,primary,yes,forward,with,,legal_forward,False,False
東京→渋谷,4,5,35.67745,139.75394,0.21,True,False,False,False,False,False,206353802,trunk_link,yes,forward,with,,legal_forward,False,False,631239776,trunk,yes,forward,with,,legal_forward,False,False
東京→渋谷,5,6,35.67736,139.75343,0.523,True,True,True,True,False,False,206353802,trunk_link,yes,forward,with,,legal_forward,False,False,583110309,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
東京→渋谷,6,7,35.67466,139.75165,0.352,True,True,True,True,False,False,662063657,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False,813532923,trunk,yes,forward,with,,legal_forward,False,False
東京→渋谷,7,8,35.67293,139.7505,0.886,True,True,True,True,False,False,243268913,tertiary,yes,forward,with,,out_of_scope_axis_misaligned,False,True,813532923,trunk,yes,forward,with,,legal_forward,False,False
東京→渋谷,8,9,35.67028,139.74934,2.923,False,True,True,False,False,False,931757787,trunk,yes,forward,with,,legal_forward,False,False,678476157,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
東京→渋谷,9,10,35.669,139.74859,5.51,False,True,True,False,False,False,931757787,trunk,yes,forward,with,,legal_forward,False,False,474603749,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,10,11,35.66449,139.74651,7.106,False,True,True,False,False,False,931757787,trunk,yes,forward,with,,legal_forward,False,False,474600371,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,11,12,35.66321,139.74533,1.046,True,True,True,True,False,False,931757787,trunk,yes,forward,with,,legal_forward,False,False,683135150,tertiary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
東京→渋谷,12,13,35.66203,139.74425,2.524,False,True,True,False,False,False,253812412,trunk,yes,forward,with,,legal_forward,False,False,1192656136,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
東京→渋谷,13,14,35.66078,139.74336,2.82,False,True,True,False,False,False,253812412,trunk,yes,forward,with,,legal_forward,False,False,474600366,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
東京→渋谷,14,15,35.66019,139.74304,6.878,False,True,True,False,True,False,1035341897,trunk,yes,forward,with,,legal_forward,False,False,858775690,trunk,yes,forward,against,,violation,True,False
東京→渋谷,15,16,35.6598,139.743,0.881,True,True,True,True,True,True,858775693,trunk,yes,forward,with,,legal_forward,False,False,858775686,primary,yes,forward,against,,violation,True,False
東京→渋谷,16,17,35.65947,139.74263,3.932,False,False,False,False,False,False,19023682,primary_link,yes,forward,with,,legal_forward,False,False,858775692,primary,yes,forward,with,,legal_forward,False,False
東京→渋谷,17,18,35.65958,139.7419,3.348,False,True,True,False,False,False,858775692,primary,yes,forward,with,,legal_forward,False,False,1254228152,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,18,19,35.66017,139.74041,3.682,False,True,True,False,False,False,858775692,primary,yes,forward,with,,legal_forward,False,False,682315373,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,19,20,35.66114,139.73794,2.106,False,True,True,False,False,False,1344791873,primary,yes,forward,with,,legal_forward,False,False,1344791874,secondary,yes,forward,with,,out_of_scope_axis_misaligned,False,True
東京→渋谷,20,21,35.66224,139.73429,2.133,False,True,True,False,False,False,271979231,primary,yes,forward,with,,legal_forward,False,False,927004529,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
東京→渋谷,21,22,35.66315,139.73238,2.399,False,False,False,False,False,False,271979231,primary,yes,forward,with,,legal_forward,False,False,927004516,secondary,yes,forward,with,,legal_forward,False,False
東京→渋谷,22,23,35.66245,139.73082,6.035,False,True,True,False,False,False,927004519,secondary,yes,forward,with,,legal_forward,False,False,693373501,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,23,24,35.66101,139.72778,2.051,False,True,True,False,False,False,888162704,secondary,yes,forward,with,,legal_forward,False,False,755562447,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,24,25,35.66028,139.72567,4.226,False,True,True,False,False,False,888162704,secondary,yes,forward,with,,legal_forward,False,False,755562446,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,25,26,35.6598,139.72435,2.224,False,True,True,False,False,False,122928192,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,261065059,secondary,yes,forward,with,,legal_forward,False,False
東京→渋谷,26,27,35.65943,139.72214,2.414,False,True,True,False,False,False,261065068,secondary,yes,forward,with,,legal_forward,False,False,755562443,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,27,28,35.65924,139.72,2.056,False,True,True,False,False,False,755562444,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False,261065068,secondary,yes,forward,with,,legal_forward,False,False
東京→渋谷,28,29,35.65925,139.71909,1.106,True,True,True,True,False,False,935686680,secondary,yes,forward,with,,legal_forward,False,False,755562444,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,29,30,35.65894,139.71543,2.139,False,True,True,False,False,False,775539561,secondary,yes,forward,with,,legal_forward,False,False,775539562,secondary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
東京→渋谷,30,31,35.65862,139.71248,3.713,False,True,True,False,False,False,922476289,secondary,yes,forward,with,,legal_forward,False,False,350053191,tertiary,,none,not_applicable,,out_of_scope_no_oneway,False,False
東京→渋谷,31,32,35.65823,139.70837,0.546,True,True,True,True,False,False,141293470,tertiary,,none,not_applicable,,out_of_scope_no_oneway,False,False,922476295,secondary,yes,forward,with,,legal_forward,False,False
東京→渋谷,32,33,35.65811,139.70618,4.717,False,True,True,False,False,False,284075894,secondary,yes,forward,with,,legal_forward,False,False,141293465,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
東京→渋谷,33,34,35.65805,139.70434,0.407,True,True,True,True,False,False,852978896,secondary,yes,forward,with,,legal_forward,False,False,211402007,service,yes,forward,against,,out_of_scope_axis_misaligned,False,True
東京→渋谷,34,37,35.65792,139.70353,2.795,False,False,False,False,False,False,680253718,pedestrian,,none,not_applicable,,out_of_scope_no_oneway,False,False,664521510,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,0,0,35.62877,139.74184,8.428,False,True,True,False,False,False,680899281,unclassified,yes,forward,against,,out_of_scope_axis_misaligned,False,True,680899279,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,1,2,35.6289,139.74222,0.003,True,True,True,True,False,False,172281628,unclassified,yes,forward,with,,legal_forward,False,False,172281627,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,2,5,35.62903,139.74278,1.179,True,True,True,True,True,True,172281627,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False,23690216,unclassified,yes,forward,against,,violation,True,False
品川→東京,3,6,35.62949,139.74285,0.834,True,True,True,True,False,False,172281624,unclassified,,none,not_applicable,,out_of_scope_no_oneway,False,False,1035597852,tertiary,yes,forward,with,,legal_forward,False,False
品川→東京,4,7,35.62945,139.74351,0.865,True,True,True,True,False,False,265010603,tertiary,yes,forward,with,,legal_forward,False,False,558518250,pedestrian,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,5,8,35.63012,139.74357,1.304,True,True,True,True,False,False,558518250,pedestrian,,none,not_applicable,,out_of_scope_no_oneway,False,False,582256211,pedestrian,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
品川→東京,6,11,35.63051,139.74365,17.212,False,False,False,False,False,False,558518250,pedestrian,,none,not_applicable,,out_of_scope_no_oneway,False,False,558518249,pedestrian,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,7,14,35.63065,139.74447,44.385,False,False,False,False,False,False,558518249,pedestrian,,none,not_applicable,,out_of_scope_no_oneway,False,False,1450174835,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,8,15,35.6314,139.74456,43.581,False,False,False,False,False,False,558518249,pedestrian,,none,not_applicable,,out_of_scope_no_oneway,False,False,1450174835,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,9,18,35.63145,139.74498,6.723,False,True,True,False,False,False,1450174835,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,356912946,primary,yes,forward,with,,out_of_scope_axis_misaligned,False,True
品川→東京,10,21,35.63329,139.74537,4.709,False,True,True,False,False,False,230895574,primary,yes,forward,with,,legal_forward,False,False,1450872526,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,11,22,35.63741,139.74669,1.594,True,True,True,True,False,False,211690605,primary,yes,forward,with,,legal_forward,False,False,19247435,tertiary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
品川→東京,12,23,35.63939,139.74728,0.314,True,True,True,True,False,False,211690605,primary,yes,forward,with,,legal_forward,False,False,252127020,tertiary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
品川→東京,13,24,35.64115,139.74788,3.709,False,True,True,False,False,False,23690234,tertiary,,none,not_applicable,,out_of_scope_no_oneway,False,False,211690605,primary,yes,forward,with,,legal_forward,False,False
品川→東京,14,25,35.64181,139.7482,0.791,True,False,False,False,False,False,176674159,secondary,yes,forward,with,,legal_forward,False,False,4848884,primary,yes,forward,with,,legal_forward,False,False
品川→東京,15,27,35.64294,139.75077,0.445,True,True,True,True,False,False,59973392,tertiary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,4848884,primary,yes,forward,with,,legal_forward,False,False
品川→東京,16,28,35.64296,139.75235,2.073,False,True,True,False,False,False,421300042,primary,yes,forward,with,,legal_forward,False,False,59973382,tertiary,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,17,29,35.6483,139.75493,1.814,True,True,True,True,False,False,1033723439,trunk,yes,forward,against,,out_of_scope_axis_misaligned,False,True,1033723438,tertiary,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,18,30,35.64862,139.75466,5.018,False,True,True,False,True,False,741785139,tertiary_link,yes,forward,against,,violation,True,False,1033723439,trunk,yes,forward,with,,legal_forward,False,False
品川→東京,19,31,35.64911,139.75297,0.497,True,True,True,True,False,False,1033723439,trunk,yes,forward,with,,legal_forward,False,False,656235284,trunk,yes,forward,with,,out_of_scope_axis_misaligned,False,True
品川→東京,20,32,35.65107,139.75374,3.349,False,True,True,False,False,False,656235283,trunk,yes,forward,with,,legal_forward,False,False,111594585,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
品川→東京,21,33,35.66028,139.75507,4.972,False,True,True,False,False,False,253812419,trunk,yes,forward,with,,legal_forward,False,False,25824167,tertiary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
品川→東京,22,34,35.6608,139.75546,6.021,False,True,True,False,False,False,253812419,trunk,yes,forward,with,,legal_forward,False,False,665351157,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,23,35,35.66371,139.75792,0.893,True,False,False,False,False,False,4848932,trunk,yes,forward,with,,legal_forward,False,False,1123745365,secondary,yes,forward,with,,legal_forward,False,False
品川→東京,24,36,35.66676,139.76034,0.537,True,True,True,True,False,False,253812422,trunk,yes,forward,with,,legal_forward,False,False,261065061,secondary,yes,forward,with,,out_of_scope_axis_misaligned,False,True
品川→東京,25,37,35.66705,139.76072,6.09,False,True,True,False,False,False,667962674,trunk,yes,forward,with,,legal_forward,False,False,191327485,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
品川→東京,26,38,35.66833,139.76194,6.042,False,True,True,False,True,False,196380141,trunk,yes,forward,with,,legal_forward,False,False,538982927,trunk,yes,forward,against,,violation,True,False
品川→東京,27,39,35.66991,139.76364,2.19,False,True,True,False,True,False,196380141,trunk,yes,forward,with,,legal_forward,False,False,538982927,trunk,yes,forward,against,,violation,True,False
