label,sample_idx,old_20260730_candidate_count,fixed_20260801_overpass_candidate_count,pbf_20260801_candidate_count,old_rank1,fixed_rank1,pbf_rank1,old_rank2,fixed_rank2,pbf_rank2,old_to_fixed_count_diff,old_to_fixed_rank12_diff,fixed_to_pbf_count_diff,fixed_to_pbf_rank12_diff
荻窪→阿佐ヶ谷,2,63,63,63,1071007332,1071007332,1071007332,39816294,39816294,39816294,False,False,False,False
荻窪→阿佐ヶ谷,3,63,63,63,80832757,80832757,80832757,566652198,566652198,566652198,False,False,False,False
荻窪→阿佐ヶ谷,4,63,63,63,1352004080,1352004080,1352004080,566652201,566652201,566652201,False,False,False,False
荻窪→阿佐ヶ谷,5,63,63,63,168918384,168918384,168918384,80833412,80833412,80833412,False,False,False,False
荻窪→阿佐ヶ谷,6,63,63,63,80833688,80833688,80833688,80833767,80833767,80833767,False,False,False,False
荻窪→阿佐ヶ谷,7,63,63,63,80834023,80834023,80834023,80833767,80833767,80833767,False,False,False,False
荻窪→阿佐ヶ谷,8,63,63,63,80835345,80835345,80835345,99998235,99998235,99998235,False,False,False,False
荻窪→阿佐ヶ谷,9,63,63,63,80835345,80835345,80835345,80835305,80835305,80835305,False,False,False,False
荻窪→阿佐ヶ谷,10,63,63,63,80835360,80835360,80835360,80835361,80835361,80835361,False,False,False,False
荻窪→阿佐ヶ谷,11,63,63,63,87704269,87704269,87704269,80835360,80835360,80835360,False,False,False,False
荻窪→阿佐ヶ谷,12,63,63,63,194848488,194848488,194848488,194848475,194848475,194848475,False,False,False,False
荻窪→阿佐ヶ谷,13,63,63,63,87703816,87703816,87703816,194848480,194848480,194848480,False,False,False,False
自由が丘→等々力,0,42,42,42,287033954,287033954,287033954,114060649,114060649,114060649,False,False,False,False
自由が丘→等々力,1,42,42,42,25533292,25533292,25533292,350353685,350353685,350353685,False,False,False,False
自由が丘→等々力,2,42,42,42,350353685,350353685,350353685,200093226,200093226,200093226,False,False,False,False
自由が丘→等々力,3,42,42,42,1337624814,1337624814,1337624814,55047413,55047413,55047413,False,False,False,False
自由が丘→等々力,4,42,42,42,1337624814,1337624814,1337624814,48678504,48678504,48678504,False,False,False,False
自由が丘→等々力,5,42,42,42,48903694,48903694,48903694,48678504,48678504,48678504,False,False,False,False
自由が丘→等々力,6,42,42,42,1337624815,1337624815,1337624815,295477986,295477986,295477986,False,False,False,False
自由が丘→等々力,7,42,42,42,59266136,59266136,59266136,190122592,190122592,190122592,False,False,False,False
自由が丘→等々力,8,42,42,42,47483021,47483021,47483021,190122593,190122593,190122593,False,False,False,False
自由が丘→等々力,9,42,42,42,47483021,47483021,47483021,91465367,91465367,91465367,False,False,False,False
浦和→さいたま新都心,0,108,108,108,916790137,916790137,916790137,916790138,916790138,916790138,False,False,False,False
浦和→さいたま新都心,1,108,108,108,1444864905,1444864905,1444864905,325347768,325347768,325347768,False,False,False,False
浦和→さいたま新都心,2,108,108,108,325347769,325347769,325347769,155587099,155587099,155587099,False,False,False,False
浦和→さいたま新都心,3,108,108,108,299401402,299401402,299401402,325347769,325347769,325347769,False,False,False,False
浦和→さいたま新都心,4,108,108,108,299401402,299401402,299401402,771672190,771672190,771672190,False,False,False,False
浦和→さいたま新都心,5,108,108,108,771672190,771672190,771672190,299401402,299401402,299401402,False,False,False,False
浦和→さいたま新都心,6,108,108,108,100148369,100148369,100148369,100298047,100298047,100298047,False,False,False,False
浦和→さいたま新都心,7,108,108,108,1263030291,1263030291,1263030291,100148369,100148369,100148369,False,False,False,False
浦和→さいたま新都心,8,108,108,108,1378604847,1378604847,1378604847,1378633397,1378633397,1378633397,False,False,False,False
浦和→さいたま新都心,9,108,108,108,100148347,100148347,100148347,100400218,100400218,100400218,False,False,False,False
浦和→さいたま新都心,10,108,108,108,100148347,100148347,100148347,100400235,100400235,100400235,False,False,False,False
浦和→さいたま新都心,11,108,108,108,771672193,771672193,771672193,100400218,100400218,100400218,False,False,False,False
浦和→さいたま新都心,12,108,108,108,100400218,100400218,100400218,771672195,771672195,771672195,False,False,False,False
浦和→さいたま新都心,13,108,108,108,312590910,312590910,312590910,771672195,771672195,771672195,False,False,False,False
浦和→さいたま新都心,14,108,108,108,484454198,484454198,484454198,906817331,906817331,906817331,False,False,False,False
浦和→さいたま新都心,15,108,108,108,323017083,323017083,323017083,99170884,99170884,99170884,False,False,False,False
浦和→さいたま新都心,16,108,108,108,323017083,323017083,323017083,1429902657,1429902657,1429902657,False,False,False,False
浦和→さいたま新都心,17,108,108,108,1429907953,1429907953,1429907953,99170594,99170594,99170594,False,False,False,False
浦和→さいたま新都心,18,108,108,108,1393674973,1393674973,1393674973,770936314,770936314,770936314,False,False,False,False
浦和→さいたま新都心,19,108,108,108,1393674972,1393674972,1393674972,57898235,57898235,57898235,False,False,False,False
浦和→さいたま新都心,20,108,108,108,285614711,285614711,285614711,770927661,770927661,770927661,False,False,False,False
吉祥寺→三鷹,0,56,56,56,1253983170,1253983170,1253983170,1253983167,1253983167,1253983167,False,False,False,False
吉祥寺→三鷹,1,56,56,56,145130502,145130502,145130502,178772547,178772547,178772547,False,False,False,False
吉祥寺→三鷹,2,56,56,56,145130484,145130484,145130484,209297871,209297871,209297871,False,False,False,False
吉祥寺→三鷹,3,56,56,56,1527420839,1527420839,1527420839,153167829,153167829,153167829,False,False,False,False
吉祥寺→三鷹,4,56,56,56,1527420839,1527420839,1527420839,1527420840,1527420840,1527420840,False,False,False,False
立川→国分寺,0,163,164,164,853388885,853388885,853388885,823191579,823191579,823191579,True,False,False,False
立川→国分寺,1,163,164,164,742524875,742524875,742524875,853388888,853388888,853388888,True,False,False,False
立川→国分寺,2,163,164,164,81601827,81601827,81601827,138427594,138427594,138427594,True,False,False,False
立川→国分寺,3,163,164,164,1429406683,1429406683,1429406683,1453544791,1453544791,1453544791,True,False,False,False
立川→国分寺,4,163,164,164,138427587,138427587,138427587,1429406683,1429406683,1429406683,True,False,False,False
立川→国分寺,5,163,164,164,138427588,138427588,138427588,854935399,854935399,854935399,True,False,False,False
立川→国分寺,6,163,164,164,81601830,81601830,81601830,77067799,77067799,77067799,True,False,False,False
立川→国分寺,7,163,164,164,81848141,81848141,81848141,81848101,81848101,81848101,True,False,False,False
立川→国分寺,8,163,164,164,81848141,81848141,81848141,81848101,81848101,81848101,True,False,False,False
立川→国分寺,9,163,164,164,81848141,81848141,81848141,81848109,81848109,81848109,True,False,False,False
立川→国分寺,10,163,164,164,84272034,84272034,84272034,84271997,84271997,84271997,True,False,False,False
立川→国分寺,11,163,164,164,84271997,84271997,84271997,237757473,237757473,237757473,True,False,False,False
立川→国分寺,12,163,164,164,237757473,237757473,237757473,84271985,84271985,84271985,True,False,False,False
立川→国分寺,13,163,164,164,135230359,135230359,135230359,84271957,84271957,84271957,True,False,False,False
立川→国分寺,14,163,164,164,84271956,84271956,84271956,135230359,135230359,135230359,True,False,False,False
立川→国分寺,15,163,164,164,53348166,53348166,53348166,135230354,135230354,135230354,True,False,False,False
立川→国分寺,16,163,164,164,172480046,172480046,172480046,86478865,86478865,86478865,True,False,False,False
立川→国分寺,17,163,164,164,84271954,84271954,84271954,86478865,86478865,86478865,True,False,False,False
立川→国分寺,18,163,164,164,728187456,728187456,728187456,454008763,454008763,454008763,True,False,False,False
立川→国分寺,19,163,164,164,728187456,728187456,728187456,184674220,184674220,184674220,True,False,False,False
立川→国分寺,20,163,164,164,161965524,161965524,161965524,1252310694,1252310694,1252310694,True,False,False,False
立川→国分寺,21,163,164,164,172480150,172480150,172480150,86751479,86751479,86751479,True,False,False,False
立川→国分寺,22,163,164,164,161954712,161954712,161954712,1410570716,1410570716,1410570716,True,False,False,False
立川→国分寺,23,163,164,164,161954672,161954672,161954672,887546947,887546947,887546947,True,False,False,False
立川→国分寺,24,163,164,164,1346808669,1346808669,1346808669,1427049474,1427049474,1427049474,True,False,False,False
立川→国分寺,25,163,164,164,1427049474,1427049474,1427049474,1349229546,1349229546,1349229546,True,False,False,False
立川→国分寺,26,163,164,164,161954707,161954707,161954707,161953549,1349229546,1349229546,True,True,False,False
立川→国分寺,27,163,164,164,161954707,161954707,161954707,401781054,401781054,401781054,True,False,False,False
立川→国分寺,28,163,164,164,258865968,258865968,258865968,161954707,161954707,161954707,True,False,False,False
立川→国分寺,29,163,164,164,161954368,161954368,161954368,161954707,161954707,161954707,True,False,False,False
立川→国分寺,30,163,164,164,1427049470,1427049470,1427049470,28850943,28850943,28850943,True,False,False,False
立川→国分寺,31,163,164,164,161953646,161953646,161953646,1427049473,1427049473,1427049473,True,False,False,False
立川→国分寺,32,163,164,164,1427049470,1427049470,1427049470,1427049472,1427049472,1427049472,True,False,False,False
立川→国分寺,33,163,164,164,1427049472,1427049472,1427049472,1082813744,1082813744,1082813744,True,False,False,False
横浜→みなとみらい,0,109,109,109,548992507,548992507,548992507,542886819,542886819,542886819,False,False,False,False
横浜→みなとみらい,1,109,109,109,28413948,28413948,28413948,1083959345,1083959345,1083959345,False,False,False,False
横浜→みなとみらい,2,109,109,109,28413948,28413948,28413948,1083959354,1083959354,1083959354,False,False,False,False
横浜→みなとみらい,3,109,109,109,32463172,32463172,32463172,1216392564,1216392564,1216392564,False,False,False,False
横浜→みなとみらい,4,109,109,109,111656069,111656069,111656069,26643010,26643010,26643010,False,False,False,False
横浜→みなとみらい,5,109,109,109,26643010,26643010,26643010,134758809,134758809,134758809,False,False,False,False
横浜→みなとみらい,6,109,109,109,26643010,26643010,26643010,389322199,389322199,389322199,False,False,False,False
横浜→みなとみらい,7,109,109,109,1298550088,1298550088,1298550088,306336242,306336242,306336242,False,False,False,False
横浜→みなとみらい,8,109,109,109,306336243,306336243,306336243,452383849,452383849,452383849,False,False,False,False
横浜→みなとみらい,9,109,109,109,306336254,306336254,306336254,1215885243,1215885243,1215885243,False,False,False,False
横浜→みなとみらい,10,109,109,109,25944286,25944286,25944286,25944240,25944240,25944240,False,False,False,False
横浜→みなとみらい,11,109,109,109,36348141,36348141,36348141,421423861,421423861,421423861,False,False,False,False
川崎→武蔵小杉,0,168,168,168,153006969,153006969,153006969,682642039,682642039,682642039,False,False,False,False
川崎→武蔵小杉,1,168,168,168,674147586,674147586,674147586,205715297,205715297,205715297,False,False,False,False
川崎→武蔵小杉,2,168,168,168,1295585359,1295585359,1295585359,262825873,262825873,262825873,False,False,False,False
