label,sample_idx,route_idx,lat,lng,candidate_count,node_rank1_way_id,node_rank1_group,rank1_way_id,rank1_group,rank1_highway,rank1_oneway,rank1_name,rank1_bicycle,rank1_dist_m,rank2_way_id,rank2_highway,rank2_oneway,rank2_dist_m,match_margin_m,match_ambiguous,rank1_is_nonroad,rank1_bicycle_exempt,rank1_excluded,filt_rank1_way_id,filt_rank1_group,filt_rank1_highway,filt_rank1_oneway,filt_rank1_name,filt_rank1_dist_m,filt_fallback_used,switched,oneway_violation_baseline,oneway_confidence_baseline,oneway_misaligned_baseline,oneway_violation_filtered,oneway_confidence_filtered,oneway_misaligned_filtered,violation_changed,diag_angle_baseline_deg,diag_angle_filtered_deg
新宿→池袋,12,14,35.7048,139.70863,188,69518078,,69518078,,residential,,,,0.357,415221604,primary,yes,1.253,0.896,True,False,False,False,69518078,,residential,,,0.357,False,False,False,0.0,True,False,0.0,True,False,87.4,87.4
新宿→池袋,13,15,35.70842,139.7091,188,214274760,,688819558,,primary,,諏訪通り,,0.616,415221604,primary,yes,1.908,1.292,True,False,False,False,688819558,,primary,,諏訪通り,0.616,False,False,False,0.0,True,False,0.0,True,False,98.7,98.7
新宿→池袋,14,16,35.71149,139.71,188,213866016,,683237303,,primary,yes,明治通り,,2.783,415221599,primary,yes,2.804,0.022,True,False,False,False,683237303,,primary,yes,明治通り,2.783,False,False,False,0.0,False,False,0.0,False,False,2.4,2.4
新宿→池袋,15,17,35.7128,139.71043,188,415221602,,415221602,,primary,yes,明治通り,,3.349,117083662,primary,yes,5.798,2.45,False,False,False,False,415221602,,primary,yes,明治通り,3.349,False,False,False,0.0,False,False,0.0,False,False,0.5,0.5
新宿→池袋,16,18,35.71436,139.71133,188,415221602,,415221602,,primary,yes,明治通り,,1.997,467676904,primary,yes,5.151,3.154,False,False,False,False,415221602,,primary,yes,明治通り,1.997,False,False,False,0.0,False,False,0.0,False,False,3.8,3.8
新宿→池袋,17,19,35.71551,139.71194,188,97367343,,97367343,,residential,,,,0.281,156260998,primary,yes,3.562,3.281,False,False,False,False,97367343,,residential,,,0.281,False,False,False,0.0,True,False,0.0,True,False,66.4,66.4
新宿→池袋,18,20,35.71687,139.71251,188,376630575,,156260998,,primary,yes,明治通り,,1.647,376630575,footway,,3.871,2.224,False,False,False,False,156260998,,primary,yes,明治通り,1.647,False,False,False,0.0,False,False,0.0,False,False,1.3,1.3
新宿→池袋,19,21,35.71883,139.71341,188,688557393,,688557393,,primary,yes,明治通り,,0.804,376630575,footway,,5.313,4.51,False,False,False,False,688557393,,primary,yes,明治通り,0.804,False,False,False,0.0,False,False,0.0,False,False,22.4,22.4
新宿→池袋,20,23,35.71985,139.71322,188,37865970,,688557393,,primary,yes,明治通り,,0.423,228137437,primary,yes,5.992,5.568,False,False,False,False,688557393,,primary,yes,明治通り,0.423,False,False,False,0.0,False,False,0.0,False,False,22.0,22.0
新宿→池袋,21,24,35.7244,139.71135,188,648625671,,648625671,,primary,yes,明治通り,,3.575,228180934,primary,yes,3.651,0.076,True,False,False,False,648625671,,primary,yes,明治通り,3.575,False,False,False,0.0,False,False,0.0,False,False,7.3,7.3
