label,sample_idx,route_idx,lat,lng,way_id,oneway,match_margin_m,old_oneway_violation,new_oneway_violation,unchanged
立川→国分寺,32,36,35.69924,139.48017,1427049470,,1.338,False,False,True
立川→国分寺,33,37,35.69941,139.48015,1427049472,,4.346,False,False,True
横浜→みなとみらい,0,0,35.46478,139.62296,548992507,,0.898,False,False,True
横浜→みなとみらい,1,4,35.46414,139.62264,28413948,yes,3.696,True,True,True
横浜→みなとみらい,2,5,35.46358,139.62261,28413948,yes,4.19,True,True,True
横浜→みなとみらい,3,7,35.46312,139.62246,32463172,,0.889,False,False,True
横浜→みなとみらい,4,9,35.46206,139.62276,111656069,,0.385,False,False,True
横浜→みなとみらい,5,10,35.46104,139.6231,26643010,,1.883,False,False,True
横浜→みなとみらい,6,11,35.46059,139.62348,26643010,,4.919,False,False,True
横浜→みなとみらい,7,13,35.4606,139.62411,1298550088,yes,4.332,False,False,True
横浜→みなとみらい,8,14,35.46044,139.62529,306336243,yes,6.586,False,False,True
横浜→みなとみらい,9,15,35.4606,139.62651,306336254,yes,0.17,False,False,True
横浜→みなとみらい,10,16,35.46117,139.62985,25944286,yes,1.359,False,False,True
横浜→みなとみらい,11,17,35.45889,139.63163,36348141,yes,3.027,False,False,True
川崎→武蔵小杉,0,0,35.53185,139.69658,153006969,,3.144,False,False,True
川崎→武蔵小杉,1,1,35.53373,139.69954,674147586,,1.746,False,False,True
川崎→武蔵小杉,2,2,35.53618,139.70223,1295585359,,2.805,False,False,True
川崎→武蔵小杉,3,3,35.53827,139.698,1226423529,yes,2.83,False,False,True
川崎→武蔵小杉,4,4,35.54013,139.69686,989951075,yes,4.789,False,False,True
川崎→武蔵小杉,5,5,35.54306,139.69367,992241606,yes,1.577,True,True,True
川崎→武蔵小杉,6,6,35.54401,139.69123,387787695,,0.311,False,False,True
川崎→武蔵小杉,7,7,35.54646,139.68509,991020675,yes,1.778,False,False,True
川崎→武蔵小杉,8,8,35.54939,139.68217,1451926119,,0.822,False,False,True
川崎→武蔵小杉,9,9,35.55289,139.67992,27639367,,5.424,False,False,True
川崎→武蔵小杉,10,10,35.55431,139.67884,31875063,yes,3.795,False,False,True
川崎→武蔵小杉,11,11,35.55607,139.67756,31875063,yes,2.642,False,False,True
川崎→武蔵小杉,12,12,35.55828,139.67599,932751006,yes,2.494,False,False,True
川崎→武蔵小杉,13,13,35.56025,139.67457,932751006,yes,5.101,False,False,True
川崎→武蔵小杉,14,14,35.56317,139.67255,294664333,yes,2.342,False,False,True
川崎→武蔵小杉,15,15,35.56546,139.671,294664333,yes,1.034,False,False,True
川崎→武蔵小杉,16,16,35.56923,139.66995,294664333,yes,2.162,False,False,True
川崎→武蔵小杉,17,18,35.56968,139.66943,159368010,,30.99,False,False,True
川崎→武蔵小杉,18,20,35.56992,139.66859,159368010,,0.497,False,False,True
川崎→武蔵小杉,19,22,35.57003,139.66775,561778848,,2.573,False,False,True
川崎→武蔵小杉,20,23,35.57043,139.66777,812902514,,38.855,False,False,True
川崎→武蔵小杉,21,25,35.57216,139.66722,812902514,,25.771,False,False,True
川崎→武蔵小杉,22,29,35.57252,139.66695,123458564,,3.882,False,False,True
川崎→武蔵小杉,23,32,35.57273,139.66661,123458564,,5.37,False,False,True
川崎→武蔵小杉,24,33,35.57323,139.66647,123458564,,1.032,False,False,True
川崎→武蔵小杉,25,34,35.57325,139.66392,31990106,,1.674,False,False,True
川崎→武蔵小杉,26,35,35.57318,139.66348,932277458,,1.438,False,False,True
川崎→武蔵小杉,27,36,35.57323,139.66325,570317028,yes,1.408,False,False,True
千葉→幕張本郷,0,0,35.61359,140.11442,702077871,,3.969,False,False,True
千葉→幕張本郷,1,1,35.61346,140.11503,702077871,,0.154,False,False,True
千葉→幕張本郷,2,2,35.61351,140.11567,702077871,,2.289,False,False,True
千葉→幕張本郷,3,3,35.6138,140.11625,702077871,,2.01,False,False,True
千葉→幕張本郷,4,4,35.61437,140.117,702077871,,3.573,False,False,True
千葉→幕張本郷,5,6,35.61486,140.11788,233583368,,0.176,False,False,True
千葉→幕張本郷,6,7,35.61519,140.11818,233583368,,0.961,False,False,True
千葉→幕張本郷,7,8,35.61556,140.11828,144785471,yes,4.901,False,False,True
千葉→幕張本郷,8,10,35.61591,140.11836,144785430,yes,1.551,False,False,True
千葉→幕張本郷,9,11,35.61662,140.11842,144785464,,4.569,False,False,True
千葉→幕張本郷,10,12,35.61834,140.11839,144785464,,53.523,False,False,True
千葉→幕張本郷,11,13,35.61896,140.11822,144785464,,7.225,False,False,True
千葉→幕張本郷,12,14,35.61954,140.11793,144785464,,2.961,False,False,True
千葉→幕張本郷,13,15,35.62083,140.11715,103755119,,4.731,False,False,True
千葉→幕張本郷,14,16,35.62147,140.11679,172896096,,0.658,False,False,True
千葉→幕張本郷,15,18,35.62368,140.11597,23052404,yes,3.722,False,False,True
千葉→幕張本郷,16,19,35.62405,140.1158,23052404,yes,8.989,False,False,True
千葉→幕張本郷,17,20,35.62516,140.1154,23053066,,0.236,False,False,True
千葉→幕張本郷,18,21,35.62607,140.11504,23052404,yes,6.578,False,False,True
千葉→幕張本郷,19,22,35.62677,140.11468,23052404,yes,6.027,False,False,True
千葉→幕張本郷,20,23,35.62823,140.11382,23052404,yes,0.86,False,False,True
千葉→幕張本郷,21,24,35.63006,140.11312,23052404,yes,0.518,False,False,True
千葉→幕張本郷,22,25,35.63246,140.11244,23052404,yes,3.682,False,False,True
千葉→幕張本郷,23,26,35.63407,140.11198,23052404,yes,7.39,False,False,True
千葉→幕張本郷,24,27,35.6346,140.11174,23052404,yes,5.044,False,False,True
千葉→幕張本郷,25,28,35.63547,140.11105,23052404,yes,6.049,False,False,True
千葉→幕張本郷,26,29,35.63694,140.10934,652775513,yes,0.283,False,False,True
千葉→幕張本郷,27,30,35.6392,140.10641,176181810,,8.351,False,False,True
千葉→幕張本郷,28,32,35.63957,140.10505,176181803,,4.205,False,False,True
千葉→幕張本郷,29,33,35.63962,140.10409,232894835,,0.09,False,False,True
千葉→幕張本郷,30,34,35.63949,140.10172,176181803,,0.592,False,False,True
千葉→幕張本郷,31,35,35.6388,140.09682,176181803,,4.129,False,False,True
千葉→幕張本郷,32,36,35.63832,140.09347,1545996537,,0.672,False,False,True
千葉→幕張本郷,33,37,35.64812,140.08627,22962353,,8.533,False,False,True
千葉→幕張本郷,34,39,35.64739,140.08533,142225531,,5.998,False,False,True
千葉→幕張本郷,35,40,35.64628,140.08398,176443607,,1.359,False,False,True
千葉→幕張本郷,36,41,35.64694,140.08385,176443607,,0.001,False,False,True
千葉→幕張本郷,37,42,35.64746,140.08364,142268720,,42.831,False,False,True
千葉→幕張本郷,38,43,35.64794,140.08327,142268720,,15.081,False,False,True
千葉→幕張本郷,39,44,35.64831,140.08289,142268720,,49.763,False,False,True
千葉→幕張本郷,40,45,35.64859,140.0825,1545985649,,1.004,False,False,True
千葉→幕張本郷,41,46,35.64884,140.08195,762649841,,1.226,False,False,True
千葉→幕張本郷,42,47,35.64903,140.08095,142268708,,18.339,False,False,True
千葉→幕張本郷,43,49,35.64894,140.0806,142268702,,16.074,False,False,True
千葉→幕張本郷,44,50,35.64886,140.0796,142268702,,0.462,False,False,True
千葉→幕張本郷,45,51,35.64886,140.07847,142268702,,1.009,False,False,True
千葉→幕張本郷,46,53,35.64915,140.07673,142268688,,0.9,False,False,True
千葉→幕張本郷,47,54,35.64964,140.07413,142268692,,1.652,False,False,True
千葉→幕張本郷,48,56,35.65152,140.06937,139813893,,0.168,False,False,True
千葉→幕張本郷,49,58,35.6522,140.06794,139815679,,0.959,False,False,True
千葉→幕張本郷,50,60,35.65275,140.0663,176913203,,0.578,False,False,True
千葉→幕張本郷,51,62,35.65273,140.06544,312441870,,2.665,False,False,True
千葉→幕張本郷,52,64,35.65337,140.06542,232975632,,0.942,False,False,True
千葉→幕張本郷,53,65,35.65333,140.06497,232975633,,1.45,False,False,True
千葉→幕張本郷,54,66,35.65338,140.06439,232975633,,6.859,False,False,True
千葉→幕張本郷,55,68,35.65405,140.06395,232975633,,11.407,False,False,True
千葉→幕張本郷,56,70,35.6548,140.06354,354213977,,0.632,False,False,True
千葉→幕張本郷,57,72,35.6552,140.06362,1328740625,,0.177,False,False,True
千葉→幕張本郷,58,75,35.65555,140.06387,1328740627,,10.22,False,False,True
千葉→幕張本郷,59,76,35.65605,140.06392,1328740627,,31.712,False,False,True
千葉→幕張本郷,60,78,35.65663,140.06335,215847591,,1.225,False,False,True
千葉→幕張本郷,61,80,35.65644,140.06299,140120585,,17.326,False,False,True
千葉→幕張本郷,62,83,35.65602,140.06282,22762849,,3.128,False,False,True
千葉→幕張本郷,63,85,35.6559,140.06241,219629137,,29.506,False,False,True
千葉→幕張本郷,64,88,35.65594,140.06193,219629137,,10.924,False,False,True
